st,
Contrato de crédito assinado mas ainda sem o dinheiro disponível,"No dia 8 de Junho fiz um pedido de crédito automóvel via telefone, pedido esse que foi aceite no dia 15 desse mês e no qual nesse mesmo dia dirigi-me a um balcão Millenium da minha zona (uma vez que não existe balcão ActivoBank) assinar o contrato. Foi-me garantido que até dia 18 tinha o dinheiro na conta. O contrato tinha data de inicio a 17 de Junho. Hoje dia 21 de Junho ainda não tenho o crédito na minha conta. Ligo para a linha de apoio e a única coisa que me dizem é para ""aguardar"". Uma entidade que em publicidade diz que ""Pedir um crédito automóvel é como pegar na chave de um carro e pôr a trabalhar"", só posso dizer que estão a enganar os clientes. Para mim é incompreensível como já passaram 15 dias desde o pedido de crédito, 7 dias desde que o crédito foi aceite e assinado e o dinheiro desse crédito ainda não está disponível. Aguardo brevemente uma resposta."
Cobrança indevida,"Fiz duas compras na eshop da nintendo pelo paypal europa e fui cobrado serviço internacional e imposto do selo, mas nao deveria pois estamos dentro so espaço economico europeu e nenhum outro banco me cobrou isso"
Contestação de compra feita com cartão de crédito,"No dia 24/05, verifiquei que havia um movimento de 190 Euros no meu cartão de crédito que não foi feito por mim.  Liguei para a ActivoBank para relatar o ocorrido. Cancelaram o meu cartão, mas pediram que eu ligasse no dia 16/05 para fazer a contestação da compra. Liguei e disseram que iriam me dar uma resposta no prazo de 6 meses. Achei isso um absurdo, pois a compra não foi feita por mim e não sou obrigada a pagá-la. Deveriam resolver isso  em no máximo 30 dias. Estou desempregada e não tenho condições de pagar uma dívida que não foi feita por mim."
Reversão débito direto,"Boa tarde Cancelei por várias vezes débito direto de uma entidade e este mês reparo que para além de ter sido ativas novamente sem o meu consentimento, tinham sido retirados valores tanto este mês, como em novembro sem que eu me tivesse apercebido. Liguei com o banco para que me revertessem a situação e só me devolveram o valor deste mês. Achei estranho fui-me informar e por lei se o débito é feito sem o nosso consentimento (e foi pois já tinha cancelado o mesmo) o cliente tem 13 meses para ser ressarcido do dinheiro. Liguei novamente recusaram se novamente a devolver o valor de Novembro. Agradeço resolução da situação, pois sai lesada sem necessidade. Cumprimentos Liliana Neves"
Cobrança de taxas Paypal altíssimas e sem aviso prévio,"Fiz um compra por paypal no valor de 348,49? e foi-me cobrado 10.45? (custo internancional) mais 0.42? (imposto de selo), nunca tinha acontecido cobrarem tanto, e nunca fui informado que agora por comprar com paypal teria que pagar taxas abusivas deste tamanho. Pedi reembolso da compra que fiz, espero que devolvam também o valor da taxa que cobraram. Já começam como os outros bancos a cobrarem taxas e taxinhas, e aldrabices semn dizer nada a ninguem. Estava bastante satisfeito com este banco agora vou começar a procurar alternativas"
Contactado por incumprimento,"Fui contactado pelo Millenium via SMS informando-me que estou em incumprimento. A conta está devidamente aprovisionada e por isso não percebo. Contactar o apoio a cliente é um exercício de paciência- liguei e não sabem de nada. Fazem perguntas para as quais devem saber a resposta, para me informarem que serei contactado por um gestor. Quando isto acontece, passam semanas sem conseguir falar com alguém."
Seguro pétis - cães de raça perigosa,"Contactei várias vezes a linha de atendimento do activobank durante o mês de julho para obter informações de preços do seguro Pétis para um rottweiler de 3 meses, tomaram sempre nota do meu número de telemóvel, pediram para aguardar um contacto mas o mesmo nunca aconteceu num período superior a 1 semana. Quando finalmente consegui uma resposta transmitiram-me os valores standard da ocidental - 23,79? (mensal) sem o desconto de 10% anunciado pelo activobank. Após alertar a operadora para a situação a mesma limitou-se a referir que o valor comunicado pela ocidental era final e não demonstrou qualquer intenção de resolver o problema. Seguem os valores que constavam no site da ocidental vs valores Pétis do activobank em julho: - Valor mensal do seguro Premium na monofolha Ocidental para cão de raça Retriver de Labrador com 5 anos = 20,05? - Valor mensal do seguro Premium no simulador do activobank para cão de raça Retriver de Labrador com 5 anos = 18,04? (20,05? - 10%) - Valor mensal do seguro Premium na monofolha Ocidental para cão de raça Rottweiler com 4 anos = 23,79? - Valor mensal do seguro Premium comunicado pelo activobank, afirmando que o desconto de 10% já tinha sido aplicado = 23,79? (idêntico ao que consta no site da ocidental) O valor correto a aplicar seria aproximadamente 21,4? por mês. Entre as tentativas de contacto sem resposta, o facto de terem demorado semanas a dar os valores do seguro, o facto de no final não terem aplicado os 10% de desconto anunciados no site e a forma como todo o processo foi gerido, fiquei com a ideia de que não têm qualquer interesse em vender o produto e que não se preocupam com a satisfação dos clientes."
Pagamento ao Revolut recusados,"Bom dia, No dia 23/08/2019 efetuei dois pagamentos à plataforma Revolut através da minha conta bancária do ACTIVOBANK, ao qual este me foi recusado. No dia 29/08/2019, ao consultar a minha conta reparei que montantes dos pagamentos anteriormente recusados haviam sido debitados. Entrei em contacto através da linha de apoio a clientes do ACTIVOBANK a expor a situação, foi me informado que existiu um bloqueio no sistema ainda da responsabilidade do banco. Durante a chamada foi ainda me indicado que o bloqueio teria sido levantado e que a situação ficaria normalizada dentro de 48 horas. Adicionalmente, entrei em contacto com a plataforma Revolut para verificar a razão pela qual os pagamentos terem sidos recusados, estes indicaram e disponibilizaram os logs das transações dos pagamentos recusados pela o banco ActivoBank. No dia 04/09/2019, verifiquei que não existiu qualquer evolução, o que me levou a entrar novamente em contacto com a linha de apoio a clientes do ACTIVOBANK foi me solicitado o envio da informação dos Logs das transações do Revolut. No dia 30/09/2019, entrei em contacto com o ACTIVOBANK para verificar o estado desta situação, quando me foi informado que o problema estaria relacionado com a rede VISA e que estes tipos de análise poderão demorar até 6 meses. No dia 07/01/2020, foi me novamente solicitado através de email a informação dos Logs do Revolut, quando entrei em contato com a linha de apoio a clientes foi me dito que o pedido de informação teria sido por lapso. No dia 06/04/2020, foi me informado que não tendo sido rececionada a documentação solicitada não é possível prosseguir com o processo, pelo que o mesmo foi encerrado. Neste sentido, gostaria de obter uma resposta do Activobank e regularizar esta situação. Os meus melhores cumprimentos."
Fraude cartão de débito,"Na passada terça-feira dia 09/07/2019 pelas 9:30h acedi aos detalhes da minha conta através da plataforma web e verifiquei pelos movimentos de conta que tinham sido debitados nesse mesmo dia 265,98? referentes a uma compra na plataforma budgetair.es, movimento este não realizado por mim. Liguei para o apoio ao cliente e fui informado que tendo movimentos não reconhecidos deveria proceder ao cancelamento do cartão e foi-me listado alguns movimentos para verificar aqueles que tinha e não tinha conhecimento entretanto efectuados após o movimento descrito em cima. Foi-me indicado que haveria um movimento de 199,5?, posterior ao acima indicado, também numa plataforma digital de nome ""stylefile mainaschaff de"" que também desconhecia mas que ainda não aparecia nos meus movimentos pois ainda não tinha sido processado pelo banco. Procedi ao cancelamento do cartão. Nesse mesmo dia fui também à polícia da minha localidade abrir um processo de queixa, foi-me pedido que voltasse com os detalhes dos movimentos emitidos pelo banco indicando explicitamente a data e horas em que aconteceram. No dia seguinte 10/07/2019 dirigi-me ao balcão do activobank no Saldanha em Lisboa a fim de pedir estes dados, foi-me impresso o detalhe do movimento de 265,98? que na plataforma a que tenho acesso aparece com a data de 09/07/2019 mas que terá sido efectuado no Sábado dia 06/07/2019 pelas 00:20. Inquiri ao balcão sobre o movimento de 199,5? que me tinham indicado telefonicamente no dia anterior ao me que foi respondido que esse movimento não existia e que como o cartão tinha sido cancelado tal movimento não seria debitado da minha conta. Entreguei o documento na polícia indicando que a fraude tinha o único movimento de 265,98? realizado no dia 06/07/2019. Sexta-feira dia 12/07/2019 vejo nos meus movimentos de conta o débito de 199,5?, volto a dirigir-me ao balcão para pedir esclarecimentos ao qual me respondem que não tinham acesso à informação sobre esse movimento e que os colegas que atendem por via telefónica têm acesso a ferramentas que no balcão não têm daí desconhecerem esse movimento e me terem dito que tal não existia. Indicam-me um ridículo prazo de seis meses para uma eventual resolução do problema, fazem-me dar um depoimento errado na polícia obrigando-me a voltar a ir refazer o depoimento  e entregar novas provas devido a informações divergentes entre o apoio telefónico e o atendimento em balcão para além do transtorno financeiro causado para o qual a resolução pode durar até 180 dias."
